MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold
0.05521802255219217,0.08010071315461167,0.01802275587977654,0.03604551175955308,0.8440860215053764,0.20157440233462665,0.9059139784946236,0.2877329305817651,0.9489247311827957,0.36583247345610687,Bootstrap,swh,3h,5
0.043502737560662724,0.06125911705186963,0.014056818543118061,0.028113637086236123,0.8605299860529986,0.16142575341998644,0.9553695955369595,0.2785359927241813,0.9776847977684798,0.3514265196971252,Bootstrap,swh,3h,6
0.2823309916999462,0.37391273019745536,0.08878524271303304,0.17757048542606607,0.6868279569892473,0.7376606154242811,0.8172043010752689,1.016780421188647,0.9166666666666666,1.506625659202946,Bootstrap,swh,6h,1
0.195386981528535,0.2878940901156834,0.0661492955310603,0.1322985910621206,0.9166666666666666,0.919659531356082,0.9747023809523809,1.2682890853064535,0.9821428571428571,1.5592331933788302,Bootstrap,swh,6h,2
0.15919123846879213,0.22360266129421688,0.05082891683005794,0.10165783366011588,0.8400537634408602,0.6470890122887066,0.9381720430107527,0.8245349032426422,0.978494623655914,1.0572097033578776,Bootstrap,swh,6h,3
0.122447889318356,0.1733853936077949,0.03950693991660985,0.0790138798332197,0.875,0.5035667179874364,0.9347222222222222,0.6940998808628965,0.9694444444444444,0.8368531046726818,Bootstrap,swh,6h,4
0.10497480366317155,0.15285219290245788,0.03417009599211885,0.0683401919842377,0.8548387096774194,0.3926816892841623,0.9045698924731183,0.5397676374793797,0.9529569892473119,0.7000408124353371,Bootstrap,swh,6h,5
0.07829364656007964,0.11208396485069166,0.026106081630071793,0.052212163260143586,0.8683473389355743,0.3146937871696701,0.9551820728291317,0.5441764797200097,0.9845938375350141,0.7072355181755746,Bootstrap,swh,6h,6
0.5247569612807744,0.6745595290036952,0.16038304605771694,0.3207660921154339,0.6505376344086021,1.226347693644672,0.8131720430107527,1.7395240825307008,0.9005376344086021,2.5361391292803415,Bootstrap,swh,12h,1
0.3543130763444188,0.505317041187246,0.11644379197770954,0.2328875839554191,0.8824404761904762,1.4937877276301563,0.9627976190476191,1.998660621729317,0.9836309523809523,2.417352484766106,Bootstrap,swh,12h,2
0.2965699997964506,0.3812156460106818,0.08965597671686393,0.17931195343372786,0.8548387096774194,1.1262335841897595,0.9502688172043011,1.4842714272234931,0.9771505376344086,1.837326669821255,Bootstrap,swh,12h,3
