MAE_median,RMSE_median,MeanPinball,CRPS_approx,Cov_80,Width_80,Cov_90,Width_90,Cov_95,Width_95,Model,Target,LeadTime,Fold,CrossingRate_before_fix,SelectedMinSamplesLeaf
0.06790277777777777,0.09215551469602289,0.02067550747863248,0.04135101495726496,0.8666666666666667,0.24704166666666666,0.9458333333333333,0.33055555555555555,0.9805555555555555,0.4172638888888888,QRF,swh,3h,4,,20.0
0.06512825748416347,0.09082914306388053,0.020006364733482482,0.040012729466964964,0.793010752688172,0.2279740489432282,0.8951612903225806,0.3017458613153576,0.956989247311828,0.36883861402897977,QR,swh,3h,5,0.0,
0.06088709677419355,0.083424681116291,0.018636993382961122,0.037273986765922244,0.8911290322580645,0.23946236559139786,0.956989247311828,0.3182661290322581,0.9879032258064516,0.39771505376344085,QRF,swh,3h,5,,20.0
0.04657079880279935,0.06706214570982934,0.014087615185858333,0.028175230371716667,0.8382147838214784,0.1686239561779891,0.9470013947001394,0.22519878314458214,0.9707112970711297,0.2795822085691283,QR,swh,3h,6,0.0041841004184100415,
0.04479776847977685,0.0646652144368129,0.013591031005256948,0.027182062010513895,0.9121338912133892,0.17507670850767085,0.9665271966527197,0.23615062761506275,0.9874476987447699,0.3027057182705718,QRF,swh,3h,6,,20.0
0.29107335278026925,0.39293030904819193,0.08719192701818941,0.17438385403637882,0.8077956989247311,0.9626125809917725,0.918010752688172,1.2674334897314175,0.9731182795698925,1.579387318797072,QR,swh,6h,1,0.0,
0.30654569892473127,0.40663168587431703,0.09082141749379653,0.18164283498759307,0.8561827956989247,1.0669220430107527,0.9193548387096774,1.4153494623655913,0.9704301075268817,1.7190188172043008,QRF,swh,6h,1,,20.0
0.2062869148399446,0.30144435888298476,0.06351082368031696,0.12702164736063393,0.7931547619047619,0.5943405732613316,0.8973214285714286,0.7970436669929545,0.9538690476190477,0.9950467591404942,QR,swh,6h,2,0.0,
0.20159226190476195,0.299228422462713,0.06384403617216118,0.12768807234432236,0.8303571428571429,0.6448660714285714,0.9181547619047619,0.8671130952380953,0.9613095238095238,1.0791369047619048,QRF,swh,6h,2,,20.0
0.17165507286953918,0.23688721784793249,0.052914632482993676,0.10582926496598735,0.8077956989247311,0.5928403576956863,0.9193548387096774,0.781730726092857,0.9650537634408602,0.9624375494783322,QR,swh,6h,3,0.002688172043010753,
0.16193548387096773,0.22967485198516752,0.050646427832919776,0.10129285566583955,0.831989247311828,0.5972043010752689,0.9529569892473119,0.8123790322580646,0.9838709677419355,1.0181586021505376,QRF,swh,6h,3,,20.0
0.13168085372041355,0.17937596570601477,0.04043936112390153,0.08087872224780306,0.7680555555555556,0.4176630491181334,0.8777777777777778,0.5416518498854211,0.9375,0.6757923469114848,QR,swh,6h,4,0.009722222222222222,
0.12855555555555556,0.17356714998972458,0.03948640491452993,0.07897280982905985,0.8416666666666667,0.4494444444444444,0.9277777777777778,0.6115277777777777,0.9652777777777778,0.7739305555555556,QRF,swh,6h,4,,20.0
0.11901998774685513,0.16417572420500287,0.036907856370927875,0.07381571274185575,0.8024193548387096,0.42134966253293304,0.8884408602150538,0.5543455536000729,0.946236559139785,0.6804518441338188,QR,swh,6h,5,0.020161290322580645,
0.11565860215053764,0.15655352240158663,0.03550948614557486,0.07101897229114972,0.8467741935483871,0.42549731182795697,0.9435483870967742,0.5722715053763441,0.978494623655914,0.7182930107526881,QRF,swh,6h,5,,20.0
0.08355037003177901,0.11947901401568584,0.02580411306739256,0.05160822613478512,0.8431372549019608,0.3185312347825663,0.9411764705882353,0.41991584827676653,0.9747899159663865,0.5247003787557798,QR,swh,6h,6,0.04481792717086835,
